explorer1	explorer2	explorer3	explorer4	explorer5	scout1	scout2	scout3	scout4	scout5	gunship1	gunship2	gunship3	gunship4	gunship5	defender1	defender2	defender3	defender4	defender5	fighter1	fighter2	fighter3	fighter4	fighter5
damage_base	4	5	6	8	10	4	5	6	8	10	6	8	12	16	20	4	5	6	8	10	5	7	9	13	16
damage_growth	1	1	1	2	2	1	1	1	2	2	2	2	3	4	5	1	1	2	2	3	2	2	3	3	4
range_base	300	350	400	450	500	320	370	420	470	520	350	400	450	500	550	300	350	400	450	500	325	375	425	475	525
range_growth	10	10	10	10	10	11	11	11	11	11	12	13	14	15	16	10	10	10	10	10	11	12	13	15	15
fire_rate_base	2000	1950	1900	1850	1800	2000	1950	1900	1850	1800	1600	1550	1500	1450	1400	2000	1950	1900	1850	1800	1800	1750	1700	1650	1600
fire_rate_growth	25	25	25	25	25	25	25	25	25	25	30	30	35	40	45	50	25	25	25	25	30	30	35	35	40
speed_base	250	300	350	400	450	300	350	400	450	500	200	225	250	275	300	200	225	250	275	300	220	270	290	310	330
speed_growth	12	14	18	22	25	14	16	18	22	25	12	13	14	15	18	12	13	14	15	18	12	13	14	15	18
accelleration_base	250	300	350	400	450	300	350	400	450	500	200	225	250	275	300	200	225	250	275	300	220	270	290	310	330
accelleration_growth	12	14	18	22	25	14	14	18	22	25	50	12	14	14	18	12	12	14	14	18	12	13	14	15	18
shields_base	3	4	5	6	8	2	3	4	5	6	2	3	4	5	6	5	7	9	12	15	3	4	5	6	8
shields_growth	1	1	1	1	2	1	1	1	1	2	1	1	1	2	2	2	2	2	2	3	1	1	1	2	2
shield_recharge_base	28000	27500	27000	26500	26000	30000	29500	29000	28500	28000	30000	29500	29000	28500	28000	26000	25000	24000	23000	22000	29000	28000	27000	26000	25000
shield_recharge_growth	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	600	650	700	750	800	500	525	550	575	600
special_base	0.05	0.05	0.05	0.05	0.05	0.01	0.01	0.015	0.02	0.025	0	0	0	0	0	0	0.01	0.01	0.015	0.02	0.01	0.01	0.015	0.015	0.02
special_growth	0.005	0.005	0.01	0.01	0.015	0.01	0.01	0.015	0.015	0.02	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.01	0.01	0.015	0.005	0.005	0.005	0.005	0.01
